ID, LOCATION, NAME, #C1, #C2, #C3, #C4
1,''-9.94984;-36.0923'',''ST94-AL6'',2,1,2,1
41,''-10.0058;-36.0168'',''ST8-AL3'',1,0,1,1
42,''-10.0063;-36.0169'',''ST10-AL5'',1,2,2,0
43,''-10.0085;-36.0174'',''ST13-AL4'',0,1,1,2
44,''-10.01083;-36.023106'',''ST15-AL6'',2,2,2,0
45,''-10.0109;-36.0251'',''ST16-AL7'',2,1,2,2
46,''-10.0151;-36.0253'',''ST19-AL4'',0,2,2,0
47,''-10.0152;-36.0252'',''ST20-AL1'',0,0,1,0
48,''-10.0171;-36.0237'',''ST22-AL5'',0,2,1,2
49,''-10.0417;-36.033'',''ST25-AL4'',1,2,0,1
50,''-10.0439;-36.0307'',''ST26-AL4'',0,2,2,0
51,''-9.78087;-36.0942'',''ST29-AL2'',0,0,2,0
52,''-9.78213;-36.1034'',''ST30-AL3'',1,1,0,1
53,''-9.78284;-36.1039'',''ST31-AL8'',2,2,2,2
54,''-9.79213;-36.1048'',''ST34-AL4'',2,1,0,1
55,''-9.79637;-36.101'',''ST37-AL2'',0,1,1,0
56,''-9.83457;-36.1314'',''ST39-AL1'',1,0,0,0
57,''-9.83789;-36.1338'',''ST41-AL2'',0,1,1,0
58,''-9.84558;-36.1385'',''ST43-AL4'',0,2,0,2
59,''-9.87327;-36.1462'',''ST46-AL5'',1,0,2,2
60,''-9.87735;-36.1463'',''ST48-AL4'',2,2,0,0
61,''-9.87778;-36.178'',''ST49-AL5'',1,2,1,1
62,''-9.88005;-36.1655'',''ST50-AL5'',2,0,2,1
63,''-9.88212;-36.1708'',''ST51-AL5'',1,1,2,1
64,''-9.88359;-36.1616'',''ST53-AL5'',2,1,0,2
65,''-9.88733;-36.1531'',''ST54-AL6'',2,2,2,0
66,''-9.899;-36.2222'',''ST57-AL6'',1,2,1,2
67,''-9.89923;-36.1857'',''ST60-AL5'',1,2,2,0
68,''-9.90041;-36.2195'',''ST63-AL5'',1,0,2,2
69,''-9.90203;-36.2193'',''ST66-AL2'',0,0,0,2
70,''-9.904;-36.2221'',''ST69-AL5'',1,2,0,2
71,''-9.90406;-36.219'',''ST70-AL5'',1,2,2,0
72,''-9.91677;-36.0345'',''ST71-AL4'',0,1,1,2
73,''-9.94119;-36.1049'',''ST72-AL4'',1,0,1,2
74,''-9.94369;-36.0941'',''ST75-AL4'',2,1,0,1
75,''-9.94397;-36.1025'',''ST76-AL3'',1,1,0,1
76,''-9.94441;-36.1012'',''ST78-AL3'',1,2,0,0
77,''-9.94553;-36.1005'',''ST81-AL4'',0,0,2,2
78,''-9.94645;-36.0785'',''ST84-AL0'',0,0,0,0
79,''-9.94664;-36.0981'',''ST85-AL1'',1,0,0,0
80,''-9.94665;-36.0787'',''ST86-AL5'',0,2,2,1
81,''-9.94665;-36.0787'',''ST87-AL7'',2,2,2,1
82,''-9.94676;-36.0989'',''ST88-AL4'',2,0,1,1
83,''-9.94926;-36.0939'',''ST91-AL2'',0,0,2,0
84,''-9.94936;-36.0953'',''ST92-AL4'',0,1,2,1
85,''-9.94936;-36.0953'',''ST93-AL3'',1,0,1,1
86,''-9.94986;-36.0923'',''ST95-AL1'',0,0,0,1
87,''-9.95023;-36.0483'',''ST98-AL3'',1,0,0,2
88,''-9.95023;-36.0483'',''ST100-AL4'',1,2,0,1
89,''-9.95029;-36.0908'',''ST102-AL3'',1,1,1,0
90,''-9.95043;-36.0875'',''ST105-AL5'',2,1,0,2
91,''-9.95056;-36.089'',''ST106-AL7'',1,2,2,2
92,''-9.95164;-36.0492'',''ST109-AL5'',0,2,2,1
93,''-9.95164;-36.0492'',''ST110-AL4'',2,0,2,0
94,''-9.95322;-36.0805'',''ST113-AL2'',2,0,0,0
95,''-9.95324;-36.0805'',''ST114-AL6'',2,2,0,2
96,''-9.9548;-36.0786'',''ST116-AL2'',0,0,1,1
97,''-9.95514;-36.0777'',''ST117-AL2'',0,1,0,1
98,''-9.95818;-36.0744'',''ST120-AL5'',1,2,2,0
99,''-9.95937;-36.0731'',''ST121-AL5'',2,2,0,1
100,''-9.9612;-36.0693'',''ST124-AL3'',1,0,0,2
